1984/1984-11|Protein-tyrosine phosphatase LC-PTP|CHEMBL2219|1.00
1992/1992-172|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1992/1992-183|Methionine aminopeptidase 1|CHEMBL2474|1.00
1992/1992-184|Methionine aminopeptidase 1|CHEMBL2474|1.00
1992/1992-190|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1992/1992-215|Thrombin|CHEMBL204|1.00
1992/1992-216|Thrombin|CHEMBL204|1.00
1992/1992-284|Cyclooxygenase-2|CHEMBL230|1.00
1992/1992-286|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
1992/1992-296|ALK tyrosine kinase receptor|CHEMBL4247|1.00
1992/1992-296|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
1992/1992-296|Focal adhesion kinase 1|CHEMBL2695|1.00
1992/1992-296|Tyrosine-protein kinase SRC|CHEMBL267|1.00
1992/1992-296|Insulin-like growth factor I receptor|CHEMBL1957|1.00
1992/1992-299|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1992/1992-299|Protein farnesyltransferase|CHEMBL2094108|1.00
1992/1992-29|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
1992/1992-301|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1992/1992-302|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
1992/1992-303|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
1992/1992-304|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
1992/1992-307|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1992/1992-353|Phospholipase A2 group IIA|CHEMBL3474|1.00
1992/1992-354|Phospholipase A2 group IIA|CHEMBL3474|1.00
1992/1992-436|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1992/1992-437|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1992/1992-438|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1992/1992-439|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1992/1992-440|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1992/1992-460|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
1992/1992-461|HMG-CoA reductase|CHEMBL402|1.00
1992/1992-461|LXR-alpha|CHEMBL2808|1.00
1992/1992-461|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
1992/1992-461|Sterol regulatory element-binding protein 2|CHEMBL1795166|1.00
1992/1992-461|Nuclear receptor ROR-gamma|CHEMBL1741186|1.00
1992/1992-461|P-glycoprotein 1|CHEMBL4302|1.00
1992/1992-462|HMG-CoA reductase|CHEMBL402|1.00
1992/1992-462|LXR-alpha|CHEMBL2808|1.00
1992/1992-462|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
1992/1992-462|Sterol regulatory element-binding protein 2|CHEMBL1795166|1.00
1992/1992-462|Nuclear receptor ROR-gamma|CHEMBL1741186|1.00
1992/1992-462|P-glycoprotein 1|CHEMBL4302|1.00
1992/1992-463|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
1992/1992-551|Tyrosine-protein kinase SRC|CHEMBL267|1.00
1992/1992-553|Tyrosine-protein kinase SRC|CHEMBL267|1.00
1992/1992-555|Tyrosine-protein kinase SRC|CHEMBL267|1.00
1992/1992-58|Anandamide amidohydrolase|CHEMBL2243|1.00
1992/1992-95|Beta-secretase 1|CHEMBL4822|1.00
1993/1993-12|Carbonic anhydrase II|CHEMBL205|1.00
1993/1993-145|DNA polymerase beta|CHEMBL2392|1.00
1993/1993-145|DNA polymerase alpha subunit|CHEMBL1828|1.00
1993/1993-146|Terminal deoxynucleotidyltransferase|CHEMBL4810|1.00
1993/1993-146|DNA polymerase beta|CHEMBL2392|1.00
1993/1993-146|DNA polymerase alpha subunit|CHEMBL1828|1.00
1993/1993-147|Terminal deoxynucleotidyltransferase|CHEMBL4810|1.00
1993/1993-147|DNA polymerase beta|CHEMBL2392|1.00
1993/1993-147|DNA polymerase alpha subunit|CHEMBL1828|1.00
1993/1993-148|DNA polymerase beta|CHEMBL2392|1.00
1993/1993-148|DNA polymerase alpha subunit|CHEMBL1828|1.00
1993/1993-149|Terminal deoxynucleotidyltransferase|CHEMBL4810|1.00
1993/1993-149|DNA polymerase beta|CHEMBL2392|1.00
1993/1993-149|DNA polymerase alpha subunit|CHEMBL1828|1.00
1993/1993-186|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1993/1993-187|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1993/1993-188|Methionine aminopeptidase 1|CHEMBL2474|1.00
1993/1993-192|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
1993/1993-202|Thrombin|CHEMBL204|1.00
1993/1993-207|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1993/1993-350|Glycogen synthase kinase-3 beta|CHEMBL262|1.00
1993/1993-351|Glycogen synthase kinase-3 beta|CHEMBL262|1.00
1993/1993-401|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1993/1993-416|Prostaglandin E synthase|CHEMBL5658|1.00
1993/1993-416|Phospholipase A2 group 1B|CHEMBL4426|1.00
1993/1993-416|DNA (cytosine-5)-methyltransferase 1|CHEMBL1993|1.00
1993/1993-416|Cysteine protease ATG4B|CHEMBL1741221|1.00
1993/1993-417|Prostaglandin E synthase|CHEMBL5658|1.00
1993/1993-532|LXR-alpha|CHEMBL2808|1.00
1993/1993-532|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
1993/1993-532|Nuclear receptor ROR-gamma|CHEMBL1741186|1.00
1993/1993-540|Nuclear receptor ROR-alpha|CHEMBL5868|1.00
1993/1993-540|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
1993/1993-540|Nuclear receptor ROR-gamma|CHEMBL1741186|1.00
1993/1993-549|DNA topoisomerase II alpha|CHEMBL1806|1.00
1993/1993-553|DNA topoisomerase I|CHEMBL1781|1.00
1993/1993-595|Phospholipase A2 group 1B|CHEMBL4426|1.00
1993/1993-609|DNA topoisomerase II alpha|CHEMBL1806|1.00
1993/1993-77|Bile acid receptor FXR|CHEMBL2047|1.00
1993/1993-78|Cyclooxygenase-1|CHEMBL221|1.00
1993/1993-78|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
1994/1994-170|DNA topoisomerase I|CHEMBL1781|1.00
1994/1994-171|DNA topoisomerase I|CHEMBL1781|1.00
1994/1994-203|Protein-tyrosine phosphatase LC-PTP|CHEMBL2219|1.00
1994/1994-203|DNA topoisomerase I|CHEMBL1781|1.00
1994/1994-204|Protein-tyrosine phosphatase LC-PTP|CHEMBL2219|1.00
1994/1994-236|DNA polymerase alpha subunit|CHEMBL1828|1.00
1994/1994-24|Serine/threonine-protein kinase PLK1|CHEMBL3024|1.00
1994/1994-24|Tyrosine-protein kinase ZAP-70|CHEMBL2803|1.00
1994/1994-24|Cyclin-dependent kinase 2/cyclin E1|CHEMBL1907605|1.00
1994/1994-279|Thrombin|CHEMBL204|1.00
1994/1994-313|Dual specificity tyrosine-phosphorylation-regulated kinase 1B|CHEMBL5543|1.00
1994/1994-313|Dual-specificity tyrosine-phosphorylation regulated kinase 3|CHEMBL4575|1.00
1994/1994-313|Dual-specificity tyrosine-phosphorylation regulated kinase 2|CHEMBL4376|1.00
1994/1994-313|Glycogen synthase kinase-3 alpha|CHEMBL2850|1.00
1994/1994-313|Dual-specificity tyrosine-phosphorylation regulated kinase 1A|CHEMBL2292|1.00
1994/1994-351|Histamine H1 receptor|CHEMBL231|1.00
1994/1994-389|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
1994/1994-389|Cholesteryl ester transfer protein|CHEMBL3572|1.00
1994/1994-389|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1994/1994-389|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
1994/1994-389|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1994/1994-391|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
1994/1994-391|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1994/1994-392|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1994/1994-392|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
1994/1994-452|Glycogen synthase kinase-3 alpha|CHEMBL2850|1.00
1994/1994-452|Glycogen synthase kinase-3 beta|CHEMBL262|1.00
1994/1994-478|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
1994/1994-619|G protein-coupled receptor 44|CHEMBL5071|1.00
1994/1994-619|Solute carrier organic anion transporter family member 2A1|CHEMBL2073703|1.00
1994/1994-619|Prostanoid EP3 receptor|CHEMBL3710|1.00
1994/1994-619|Prostanoid IP receptor|CHEMBL1995|1.00
1994/1994-619|Prostanoid FP receptor|CHEMBL1987|1.00
1994/1994-619|Prostanoid EP2 receptor|CHEMBL1881|1.00
1994/1994-619|Prostanoid EP4 receptor|CHEMBL1836|1.00
1994/1994-619|Prostanoid EP1 receptor|CHEMBL1811|1.00
1994/1994-620|Prostanoid EP3 receptor|CHEMBL3710|1.00
1994/1994-620|Prostanoid IP receptor|CHEMBL1995|1.00
1994/1994-620|Prostanoid FP receptor|CHEMBL1987|1.00
1994/1994-620|Prostanoid EP2 receptor|CHEMBL1881|1.00
1994/1994-620|Prostanoid EP4 receptor|CHEMBL1836|1.00
1994/1994-620|Prostanoid EP1 receptor|CHEMBL1811|1.00
1994/1994-620|G protein-coupled receptor 44|CHEMBL5071|1.00
1994/1994-620|Solute carrier organic anion transporter family member 2A1|CHEMBL2073703|1.00
1994/1994-621|Prostanoid DP receptor|CHEMBL4427|1.00
1994/1994-621|Prostanoid EP3 receptor|CHEMBL3710|1.00
1994/1994-621|Solute carrier organic anion transporter family member 2A1|CHEMBL2073703|1.00
1994/1994-621|Thromboxane A2 receptor|CHEMBL2069|1.00
1994/1994-621|Prostanoid FP receptor|CHEMBL1987|1.00
1994/1994-621|Prostanoid EP4 receptor|CHEMBL1836|1.00
1994/1994-621|Prostanoid EP1 receptor|CHEMBL1811|1.00
1994/1994-621|Putative hexokinase HKDC1|CHEMBL1741200|1.00
1994/1994-622|Prostanoid DP receptor|CHEMBL4427|1.00
1994/1994-622|Prostanoid EP3 receptor|CHEMBL3710|1.00
1994/1994-622|Solute carrier organic anion transporter family member 2A1|CHEMBL2073703|1.00
1994/1994-622|Thromboxane A2 receptor|CHEMBL2069|1.00
1994/1994-622|Prostanoid FP receptor|CHEMBL1987|1.00
1994/1994-622|Prostanoid EP4 receptor|CHEMBL1836|1.00
1994/1994-622|Prostanoid EP1 receptor|CHEMBL1811|1.00
1994/1994-771|Phospholipase A2 group IIA|CHEMBL3474|1.00
1995/1995-101|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
1995/1995-102|Leukotriene B4 receptor 1|CHEMBL3911|1.00
1995/1995-102|Leukotriene B4 receptor|CHEMBL2095160|1.00
1995/1995-102|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
1995/1995-184|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1995/1995-223|Methionine aminopeptidase 1|CHEMBL2474|1.00
1995/1995-269|Tubulin|CHEMBL2095182|1.00
1995/1995-275|Thrombin|CHEMBL204|1.00
1995/1995-346|Dual specificity tyrosine-phosphorylation-regulated kinase 1B|CHEMBL5543|1.00
1995/1995-346|Dual-specificity tyrosine-phosphorylation regulated kinase 3|CHEMBL4575|1.00
1995/1995-346|Dual-specificity tyrosine-phosphorylation regulated kinase 2|CHEMBL4376|1.00
1995/1995-346|Glycogen synthase kinase-3 alpha|CHEMBL2850|1.00
1995/1995-346|Dual-specificity tyrosine-phosphorylation regulated kinase 1A|CHEMBL2292|1.00
1995/1995-346|Serine/threonine-protein kinase PIM1|CHEMBL2147|1.00
1995/1995-35|Tubulin|CHEMBL2095182|1.00
1995/1995-380|Cyclooxygenase-2|CHEMBL230|1.00
1995/1995-394|Protein farnesyltransferase|CHEMBL2094108|1.00
1995/1995-394|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1995/1995-395|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1995/1995-445|Glycogen synthase kinase-3 beta|CHEMBL262|1.00
1995/1995-446|Glycogen synthase kinase-3 beta|CHEMBL262|1.00
1995/1995-447|DNA polymerase kappa|CHEMBL5365|1.00
1995/1995-447|Phospholipase A2 group 1B|CHEMBL4426|1.00
1995/1995-447|Phospholipase A2 group IIA|CHEMBL3474|1.00
1995/1995-448|DNA polymerase kappa|CHEMBL5365|1.00
1995/1995-448|Phospholipase A2 group 1B|CHEMBL4426|1.00
1995/1995-448|Phospholipase A2 group IIA|CHEMBL3474|1.00
1995/1995-453|DNA polymerase kappa|CHEMBL5365|1.00
1995/1995-453|Phospholipase A2 group 1B|CHEMBL4426|1.00
1995/1995-453|Phospholipase A2 group IIA|CHEMBL3474|1.00
1995/1995-454|DNA polymerase kappa|CHEMBL5365|1.00
1995/1995-454|Phospholipase A2 group 1B|CHEMBL4426|1.00
1995/1995-454|Phospholipase A2 group IIA|CHEMBL3474|1.00
1995/1995-475|Nuclear factor NF-kappa-B complex|CHEMBL2094258|1.00
1995/1995-475|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1995/1995-625|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
1995/1995-626|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
1995/1995-628|Nuclear factor NF-kappa-B complex|CHEMBL2094258|1.00
1995/1995-630|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
1995/1995-671|Tubulin|CHEMBL2095182|1.00
1995/1995-678|DNA topoisomerase I|CHEMBL1781|1.00
1995/1995-749|DNA topoisomerase II alpha|CHEMBL1806|1.00
1995/1995-750|DNA topoisomerase II alpha|CHEMBL1806|1.00
1995/1995-756|DNA topoisomerase II alpha|CHEMBL1806|1.00
1996/1996-186|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1996/1996-192|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1996/1996-193|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1996/1996-195|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1996/1996-196|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1996/1996-224|DNA polymerase alpha subunit|CHEMBL1828|1.00
1996/1996-241|Tubulin|CHEMBL2095182|1.00
1996/1996-245|Thrombin|CHEMBL204|1.00
1996/1996-246|Thrombin|CHEMBL204|1.00
1996/1996-247|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
1996/1996-26|Platelet activating factor receptor|CHEMBL250|1.00
1996/1996-347|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1996/1996-349|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
1996/1996-349|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1996/1996-363|Cholesteryl ester transfer protein|CHEMBL3572|1.00
1996/1996-364|Cholesteryl ester transfer protein|CHEMBL3572|1.00
1996/1996-364|Cyclooxygenase-2|CHEMBL230|1.00
1996/1996-370|Serine/threonine-protein kinase NEK6|CHEMBL4309|1.00
1996/1996-370|ALK tyrosine kinase receptor|CHEMBL4247|1.00
1996/1996-370|Hepatocyte growth factor receptor|CHEMBL3717|1.00
1996/1996-370|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
1996/1996-370|Focal adhesion kinase 1|CHEMBL2695|1.00
1996/1996-370|Tyrosine-protein kinase SRC|CHEMBL267|1.00
1996/1996-370|Serine/threonine-protein kinase Aurora-B|CHEMBL2185|1.00
1996/1996-370|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
1996/1996-381|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1996/1996-382|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1996/1996-385|Dual specificity phosphatase Cdc25B|CHEMBL4804|1.00
1996/1996-385|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1996/1996-385|Protein farnesyltransferase|CHEMBL2094108|1.00
1996/1996-386|Dual specificity phosphatase Cdc25B|CHEMBL4804|1.00
1996/1996-386|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1996/1996-386|Protein farnesyltransferase|CHEMBL2094108|1.00
1996/1996-438|Phospholipase A2 group IIA|CHEMBL3474|1.00
1996/1996-439|Phospholipase A2 group IIA|CHEMBL3474|1.00
1996/1996-43|Tubulin|CHEMBL2095182|1.00
1996/1996-441|Bile acid receptor FXR|CHEMBL2047|1.00
1996/1996-442|Phospholipase A2 group IIA|CHEMBL3474|1.00
1996/1996-44|Tubulin|CHEMBL2095182|1.00
1996/1996-45|Tubulin|CHEMBL2095182|1.00
1996/1996-579|ALK tyrosine kinase receptor|CHEMBL4247|1.00
1996/1996-579|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
1996/1996-579|Tyrosine-protein kinase SRC|CHEMBL267|1.00
1996/1996-579|Insulin-like growth factor I receptor|CHEMBL1957|1.00
1996/1996-580|ALK tyrosine kinase receptor|CHEMBL4247|1.00
1996/1996-580|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
1996/1996-580|Focal adhesion kinase 1|CHEMBL2695|1.00
1996/1996-580|Tyrosine-protein kinase SRC|CHEMBL267|1.00
1996/1996-580|Insulin-like growth factor I receptor|CHEMBL1957|1.00
1996/1996-581|ALK tyrosine kinase receptor|CHEMBL4247|1.00
1996/1996-581|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
1996/1996-581|Focal adhesion kinase 1|CHEMBL2695|1.00
1996/1996-581|Tyrosine-protein kinase SRC|CHEMBL267|1.00
1996/1996-581|Insulin-like growth factor I receptor|CHEMBL1957|1.00
1996/1996-634|Ribosomal protein S6 kinase alpha 5|CHEMBL4237|1.00
1996/1996-695|ATP-binding cassette sub-family G member 2|CHEMBL5393|1.00
1996/1996-696|ATP-binding cassette sub-family G member 2|CHEMBL5393|1.00
1997/1997-103|LXR-alpha|CHEMBL2808|1.00
1997/1997-103|Nuclear receptor ROR-gamma|CHEMBL1741186|1.00
1997/1997-155|Peroxisome proliferator-activated receptor gamma|CHEMBL235|1.00
1997/1997-160|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1997/1997-166|Cytochrome P450 3A4|CHEMBL340|1.00
1997/1997-192|Thrombin|CHEMBL204|1.00
1997/1997-274|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1997/1997-317|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
1997/1997-317|Cholesteryl ester transfer protein|CHEMBL3572|1.00
1997/1997-317|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1997/1997-317|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
1997/1997-317|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1997/1997-319|Cyclooxygenase-2|CHEMBL230|1.00
1997/1997-321|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1997/1997-321|Protein farnesyltransferase|CHEMBL2094108|1.00
1997/1997-32|Nuclear receptor subfamily 4 group A member 1|CHEMBL1293229|1.00
1997/1997-397|Ribosomal protein S6 kinase alpha 5|CHEMBL4237|1.00
1997/1997-398|Ribosomal protein S6 kinase alpha 5|CHEMBL4237|1.00
1997/1997-399|Ribosomal protein S6 kinase alpha 5|CHEMBL4237|1.00
1997/1997-40|Tubulin|CHEMBL2095182|1.00
1997/1997-423|P-glycoprotein 1|CHEMBL4302|1.00
1997/1997-423|LXR-alpha|CHEMBL2808|1.00
1997/1997-423|Nuclear receptor ROR-gamma|CHEMBL1741186|1.00
1997/1997-440|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
1997/1997-570-a|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
1997/1997-570-b|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
1997/1997-571-a|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
1997/1997-571-b|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
1997/1997-615|Protein kinase C alpha|CHEMBL299|1.00
1997/1997-616|Protein kinase C alpha|CHEMBL299|1.00
1997/1997-697|Tyrosine-protein kinase SRC|CHEMBL267|1.00
1997/1997-78|Peroxisome proliferator-activated receptor delta|CHEMBL3979|1.00
1997/1997-78|Peroxisome proliferator-activated receptor alpha|CHEMBL239|1.00
1997/1997-78|Peroxisome proliferator-activated receptor gamma|CHEMBL235|1.00
1997/1997-78|Oxoeicosanoid receptor 1|CHEMBL1628461|1.00
1999/1999-103|LXR-alpha|CHEMBL2808|1.00
1999/1999-105|Bile acid receptor FXR|CHEMBL2047|1.00
1999/1999-125|Protein kinase C theta|CHEMBL3920|1.00
1999/1999-125|Protein kinase C eta|CHEMBL3616|1.00
1999/1999-125|Protein kinase C epsilon|CHEMBL3582|1.00
1999/1999-125|Protein kinase C beta|CHEMBL3045|1.00
1999/1999-125|Protein kinase C delta|CHEMBL2996|1.00
1999/1999-125|Protein kinase C alpha|CHEMBL299|1.00
1999/1999-125|Protein kinase C gamma|CHEMBL2938|1.00
1999/1999-126|Protein kinase C theta|CHEMBL3920|1.00
1999/1999-126|Protein kinase C eta|CHEMBL3616|1.00
1999/1999-126|Protein kinase C epsilon|CHEMBL3582|1.00
1999/1999-126|Protein kinase C beta|CHEMBL3045|1.00
1999/1999-126|Protein kinase C delta|CHEMBL2996|1.00
1999/1999-126|Protein kinase C alpha|CHEMBL299|1.00
1999/1999-126|Protein kinase C gamma|CHEMBL2938|1.00
1999/1999-127|Protein kinase C theta|CHEMBL3920|1.00
1999/1999-127|Protein kinase C eta|CHEMBL3616|1.00
1999/1999-127|Protein kinase C epsilon|CHEMBL3582|1.00
1999/1999-127|Protein kinase C beta|CHEMBL3045|1.00
1999/1999-127|Protein kinase C delta|CHEMBL2996|1.00
1999/1999-127|Protein kinase C alpha|CHEMBL299|1.00
1999/1999-127|Protein kinase C gamma|CHEMBL2938|1.00
1999/1999-128|Protein kinase C theta|CHEMBL3920|1.00
1999/1999-128|Protein kinase C eta|CHEMBL3616|1.00
1999/1999-128|Protein kinase C epsilon|CHEMBL3582|1.00
1999/1999-128|Protein kinase C beta|CHEMBL3045|1.00
1999/1999-128|Protein kinase C delta|CHEMBL2996|1.00
1999/1999-128|Protein kinase C alpha|CHEMBL299|1.00
1999/1999-128|Protein kinase C gamma|CHEMBL2938|1.00
1999/1999-129|Protein kinase C theta|CHEMBL3920|1.00
1999/1999-129|Protein kinase C eta|CHEMBL3616|1.00
1999/1999-129|Protein kinase C epsilon|CHEMBL3582|1.00
1999/1999-129|Protein kinase C beta|CHEMBL3045|1.00
1999/1999-129|Protein kinase C delta|CHEMBL2996|1.00
1999/1999-129|Protein kinase C alpha|CHEMBL299|1.00
1999/1999-129|Protein kinase C gamma|CHEMBL2938|1.00
1999/1999-247|Methionine aminopeptidase 1|CHEMBL2474|1.00
1999/1999-248|Methionine aminopeptidase 1|CHEMBL2474|1.00
1999/1999-249|Methionine aminopeptidase 1|CHEMBL2474|1.00
1999/1999-250|Methionine aminopeptidase 1|CHEMBL2474|1.00
1999/1999-267|Thrombin|CHEMBL204|1.00
1999/1999-337|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
1999/1999-337|Cholesteryl ester transfer protein|CHEMBL3572|1.00
1999/1999-337|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1999/1999-337|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
1999/1999-337|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1999/1999-338|Cholesteryl ester transfer protein|CHEMBL3572|1.00
1999/1999-338|Cyclooxygenase-2|CHEMBL230|1.00
1999/1999-339|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1999/1999-339|Protein farnesyltransferase|CHEMBL2094108|1.00
1999/1999-340|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
1999/1999-340|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1999/1999-341|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1999/1999-341|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
1999/1999-413|Phospholipase A2 group IIA|CHEMBL3474|1.00
1999/1999-414|Phospholipase A2 group IIA|CHEMBL3474|1.00
1999/1999-416|Phospholipase A2 group 1B|CHEMBL4426|1.00
1999/1999-417|Phospholipase A2 group 1B|CHEMBL4426|1.00
1999/1999-418|DNA polymerase kappa|CHEMBL5365|1.00
1999/1999-418|Phospholipase A2 group 1B|CHEMBL4426|1.00
1999/1999-418|Phospholipase A2 group IIA|CHEMBL3474|1.00
1999/1999-419|DNA polymerase kappa|CHEMBL5365|1.00
1999/1999-419|Phospholipase A2 group 1B|CHEMBL4426|1.00
1999/1999-419|Phospholipase A2 group IIA|CHEMBL3474|1.00
1999/1999-438|Phospholipase A2 group IIA|CHEMBL3474|1.00
1999/1999-439|Phospholipase A2 group IIA|CHEMBL3474|1.00
1999/1999-446|Dual specificity phosphatase Cdc25A|CHEMBL3775|1.00
1999/1999-501|Macrophage scavenger receptor types I and II|CHEMBL5811|1.00
1999/1999-62|Tubulin|CHEMBL2095182|1.00
2000/2000-10|Carbonyl reductase [NADPH] 1|CHEMBL5586|1.00
2000/2000-10|Heat shock protein HSP 90-alpha|CHEMBL3880|1.00
2000/2000-160|Protein kinase C theta|CHEMBL3920|1.00
2000/2000-160|Protein kinase C eta|CHEMBL3616|1.00
2000/2000-160|Protein kinase C epsilon|CHEMBL3582|1.00
2000/2000-160|Protein kinase C beta|CHEMBL3045|1.00
2000/2000-160|Protein kinase C delta|CHEMBL2996|1.00
2000/2000-160|Protein kinase C alpha|CHEMBL299|1.00
2000/2000-160|Protein kinase C gamma|CHEMBL2938|1.00
2000/2000-197|Protein-tyrosine phosphatase LC-PTP|CHEMBL2219|1.00
2000/2000-197|DNA topoisomerase I|CHEMBL1781|1.00
2000/2000-203|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2000/2000-204|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2000/2000-205|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2000/2000-206|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2000/2000-207|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2000/2000-211|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2000/2000-212|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2000/2000-213|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2000/2000-214|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2000/2000-311|Heat shock protein HSP 90-alpha|CHEMBL3880|1.00
2000/2000-450|Phospholipase A2 group IIA|CHEMBL3474|1.00
2000/2000-454|Cholesteryl ester transfer protein|CHEMBL3572|1.00
2000/2000-455|Cholesteryl ester transfer protein|CHEMBL3572|1.00
2000/2000-455|Cyclooxygenase-2|CHEMBL230|1.00
2000/2000-462|Protein farnesyltransferase|CHEMBL2094108|1.00
2000/2000-462|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
2000/2000-466|Kinesin-like protein 1|CHEMBL4581|1.00
2000/2000-529|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
2000/2000-529|Sodium/potassium-transporting ATPase|CHEMBL2095186|1.00
